start_date,end_date,firm_title,mode,sample_size,primary_lnc,primary_alp,primary_green,primary_onenation,primary_unitedaustralia,primary_other,primary_undecided,tpp_lnc,tpp_alp,tpp_undecided
2010-05-12,2010-05-13,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,0.48,NA
2012-09-22,2012-09-23,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,0.48,NA
2012-09-29,2012-10-07,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,0.48,NA
1998-03-18,1998-03-26,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.495,0.505,NA
1998-04-29,1998-04-30,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.495,0.505,NA
1998-09-23,1998-09-24,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.495,0.505,NA
2010-05-15,2010-05-16,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.495,0.505,NA
2012-10-13,2012-10-21,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.495,0.505,NA
2012-11-10,2012-11-18,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.495,0.505,NA
1998-01-07,1998-01-15,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0.52,NA
2001-09-01,2001-09-02,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0.52,NA
2003-11-22,2003-11-23,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0.52,NA
2003-11-29,2003-11-30,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0.52,NA
2009-11-11,2009-11-12,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0.52,NA
2010-06-05,2010-06-06,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0.52,NA
2010-08-14,2010-08-15,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0.52,NA
1997-10-22,1997-10-30,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465,0.535,NA
1997-11-05,1997-11-13,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465,0.535,NA
1998-04-22,1998-04-23,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465,0.535,NA
1998-06-24,1998-07-02,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465,0.535,NA
2004-04-24,2004-05-02,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465,0.535,NA
2004-07-31,2004-08-08,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465,0.535,NA
2007-11-23,2007-11-23,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465,0.535,NA
2010-02-10,2010-02-11,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465,0.535,NA
1998-09-12,1998-09-13,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.55,NA
2000-11-25,2000-12-03,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.55,NA
2001-07-07,2001-07-15,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.55,NA
2001-09-08,2001-09-09,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.55,NA
2004-01-17,2004-01-25,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.55,NA
2004-03-27,2004-04-04,Roy Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.55,NA
